Nome da Área/Habilidade,Depende de...,Dependentes,Dependências,Grau de Familiaridade,Interesse,Master Score (Combined),Notas Gerais,Notas sobre Intersecções,Prioridade de Exploração,Relevância no Mercado,Requerido por...,Tipo,Áreas relacionadas,⭐ Familiarity Score,⭐Equal Weights Score,⭐Interest Focus Score,⭐Market Focus Scored,🎯 Direct Requirements,📊 Requirement Score,🔗 Indirect Req. Scores,🔢 Familiaridade (num),🔢 Interesse (num),🔢 Relevância (num)
Ilustração / Pintura digital,Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv),"Requerido por: 
@Concept Design 📚 Familiar
@Ilustração comercial 🏆 Profissional","Depende de: 
@Photoshop e edição de imagens 🏆 Profissional",🏆 Profissional,🔥 Muito alto,2.7,,,No,🤷 Não sei,"Concept Design (Concept%20Design%202e3929e8cc2b8021bacdc04e7f13d81a.csv), Ilustração comercial (Ilustra%C3%A7%C3%A3o%20comercial%202e3929e8cc2b80f99075cf866244323b.csv)","✨ Área de interesse, 🎯 Habilidade / 🖥️ Software","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",4,5,4,2.5,2,3,1,5,5,0
Blender (software 3D),,"Requerido por: 
@Geometry Nodes 🌱 Iniciante
@Concept Design 📚 Familiar
@Visualização de produtos em 3D 📚 Familiar
@Impressão 3D ❓ Desconhecida
@Motion Graphics ❓ Desconhecida
@Game Dev (Desenvolvimento de Jogos) ❓ Desconhecida
@Desenvolvimento de Mods pra Skyrim ❓ Desconhecida",Área de fundamento (sem requisitos),📚 Familiar,❤️ Alto,5.9,,,No,⭐⭐⭐⭐ Alta,"Geometry Nodes (Geometry%20Nodes%202e3929e8cc2b80a9b0b9f58cf7b7dbb1.csv), Concept Design (Concept%20Design%202e3929e8cc2b8021bacdc04e7f13d81a.csv), Visualização de produtos em 3D (Visualiza%C3%A7%C3%A3o%20de%20produtos%20em%203D%202e3929e8cc2b804cb13cd7b9f35edc21.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Game Dev (Desenvolvimento de Jogos) (Game%20Dev%20(Desenvolvimento%20de%20Jogos)%202e3929e8cc2b8066a11ece1e710f61f4.csv), Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv)","✨ Área de interesse, 🎯 Habilidade / 🖥️ Software","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",3.5,3.7,3.7,3.7,7,11.1,3.8,3,4,4
"Notion (construir sistemas, com fórmulas, bancos de dados, etc.)","Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv)","Requerido por: 
@Habit Lab 💪 Confiante","Depende de: 
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante
@Data Visualisation (visualização de dados) 🌱 Iniciante",💪 Confiante,❤️ Alto,2.9,,,No,⭐⭐⭐ Média,Habit Lab (Habit%20Lab%202e3929e8cc2b80baa3c5df86dd0dd57a.csv),"✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado",Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv),3.8,3.7,3.8,3.5,1,1.5,0.5,4,4,3
Geometry Nodes,"Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv)","Requerido por: 
@Motion Graphics ❓ Desconhecida","Depende de: 
@Blender (software 3D) 📚 Familiar
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante
@Data Visualisation (visualização de dados) 🌱 Iniciante",🌱 Iniciante,❤️ Alto,3.2,,,No,⭐⭐⭐⭐⭐ Muito alta,Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv),"✨ Área de interesse, 🎯 Habilidade / 🖥️ Software",Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv),3.2,3.7,3.6,3.9,1,1.5,0.5,2,4,5
Matemática intermediária - avançada (pra desenvolvimento de software),,"Requerido por: 
@Geometry Nodes 🌱 Iniciante
@Notion (construir sistemas, com fórmulas, bancos de dados, etc.) 💪 Confiante
@Coding / Programação 🌱 Iniciante
@Game Dev (Desenvolvimento de Jogos) ❓ Desconhecida
@Data Visualisation (visualização de dados) 🌱 Iniciante
@Robótica ❓ Desconhecida
@Eng. Eletrônica ❓ Desconhecida",Área de fundamento (sem requisitos),🌱 Iniciante,💛 Médio,7.9,,,No,⭐⭐⭐⭐ Alta,"Geometry Nodes (Geometry%20Nodes%202e3929e8cc2b80a9b0b9f58cf7b7dbb1.csv), Notion (construir sistemas, com fórmulas, bancos de dados, etc.) (Notion%20(construir%20sistemas,%20com%20f%C3%B3rmulas,%20bancos%20d%202e3929e8cc2b8070ba53e38bace5e8bc.csv), Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Game Dev (Desenvolvimento de Jogos) (Game%20Dev%20(Desenvolvimento%20de%20Jogos)%202e3929e8cc2b8066a11ece1e710f61f4.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv), Robótica (Rob%C3%B3tica%202e7929e8cc2b8077ad2bdd59b9a906e9.csv), Eng. Eletrônica (Eng%20Eletr%C3%B4nica%202e7929e8cc2b808a9f58d0cb9516d3f9.csv)",🎯 Habilidade / 🖥️ Software,"Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv)",2.7,3,2.9,3.2,7,18.7,7.4,2,3,4
Coding / Programação,Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv),"Requerido por: 
@Game Dev (Desenvolvimento de Jogos) ❓ Desconhecida
@Habit Lab 💪 Confiante
@Desenvolvimento de Mods pra Skyrim ❓ Desconhecida
@Data Visualisation (visualização de dados) 🌱 Iniciante
@Robótica ❓ Desconhecida","Depende de: 
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante",🌱 Iniciante,💛 Médio,5.8,,,No,⭐⭐⭐⭐⭐ Muito alta,"Game Dev (Desenvolvimento de Jogos) (Game%20Dev%20(Desenvolvimento%20de%20Jogos)%202e3929e8cc2b8066a11ece1e710f61f4.csv), Habit Lab (Habit%20Lab%202e3929e8cc2b80baa3c5df86dd0dd57a.csv), Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv), Robótica (Rob%C3%B3tica%202e7929e8cc2b8077ad2bdd59b9a906e9.csv)","✨ Área de interesse, 🎯 Habilidade / 🖥️ Software","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv)",2.9,3.3,3.1,3.7,5,10.6,4,2,3,5
Photoshop e edição de imagens,,"Requerido por: 
@Ilustração / Pintura digital 🏆 Profissional
@Design editorial (marketing e publicidade) 📚 Familiar
@Concept Design 📚 Familiar",Área de fundamento (sem requisitos),🏆 Profissional,💛 Médio,4.2,,,No,⭐⭐⭐ Média,"Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv), Design editorial (marketing e publicidade) (Design%20editorial%20(marketing%20e%20publicidade)%202e3929e8cc2b80f482c2c70c5002f181.csv), Concept Design (Concept%20Design%202e3929e8cc2b8021bacdc04e7f13d81a.csv)",🎯 Habilidade / 🖥️ Software,"Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",4,3.7,3.6,3.6,3,5.6,2.1,5,3,3
Design editorial (marketing e publicidade),Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv),Área de especialização (sem dependentes),"Depende de: 
@Photoshop e edição de imagens 🏆 Profissional",📚 Familiar,💙 Baixo,2.3,,,No,⭐⭐⭐⭐ Alta,,💼 Oportunidade de mercado,,2.9,3,2.7,3.3,0,0,0,3,2,4
Concept Design,"Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv), Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv)",Área de especialização (sem dependentes),"Depende de: 
@Photoshop e edição de imagens 🏆 Profissional
@Ilustração / Pintura digital 🏆 Profissional
@Blender (software 3D) 📚 Familiar",📚 Familiar,🔥 Muito alto,1.3,,,No,🤷 Não sei,,"✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado",Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv),3,4,3.4,1.9,0,0,0,3,5,0
Ilustração comercial,Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv),Área de especialização (sem dependentes),"Depende de: 
@Ilustração / Pintura digital 🏆 Profissional",🏆 Profissional,🔥 Muito alto,1.8,,,No,🤷 Não sei,,"✨ Área de interesse, 💼 Oportunidade de mercado","Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",4,5,4,2.5,0,0,0,5,5,0
Visualização de produtos em 3D,"Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv)",Área de especialização (sem dependentes),"Depende de: 
@Blender (software 3D) 📚 Familiar
@Animação 3D 🌱 Iniciante",📚 Familiar,💛 Médio,1.1,,,No,🤷 Não sei,,"✨ Área de interesse, 💼 Oportunidade de mercado","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",2.4,3,2.4,1.5,0,0,0,3,3,0
Animação 3D,Rigging (pré-requisito de animalçao) (Rigging%20(pr%C3%A9-requisito%20de%20animal%C3%A7ao)%202e4929e8cc2b809899d9d934a3f44471.csv),"Requerido por: 
@Visualização de produtos em 3D 📚 Familiar
@Motion Graphics ❓ Desconhecida
@Desenvolvimento de Mods pra Skyrim ❓ Desconhecida","Depende de: 
@Rigging (pré-requisito de animalçao) ❓ Desconhecida",🌱 Iniciante,💛 Médio,3.6,,,No,⭐⭐⭐⭐ Alta,"Visualização de produtos em 3D (Visualiza%C3%A7%C3%A3o%20de%20produtos%20em%203D%202e3929e8cc2b804cb13cd7b9f35edc21.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv)","✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv)",2.7,3,2.9,3.2,3,4.5,1.5,2,3,4
Impressão 3D,Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv),Área de especialização (sem dependentes),"Depende de: 
@Blender (software 3D) 📚 Familiar",❓ Desconhecida,❤️ Alto,2.5,,,No,⭐⭐⭐⭐⭐ Muito alta,,"✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado","Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Visualização de produtos em 3D (Visualiza%C3%A7%C3%A3o%20de%20produtos%20em%203D%202e3929e8cc2b804cb13cd7b9f35edc21.csv), Motion Graphics (Motion%20Graphics%202e3929e8cc2b8077a5d8f346c6ba77e7.csv), Ilustração comercial (Ilustra%C3%A7%C3%A3o%20comercial%202e3929e8cc2b80f99075cf866244323b.csv), Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv), Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv)",2.7,3.3,3.3,3.6,0,0,0,1,4,5
Motion Graphics,"Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv), Geometry Nodes (Geometry%20Nodes%202e3929e8cc2b80a9b0b9f58cf7b7dbb1.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv)",Área de especialização (sem dependentes),"Depende de: 
@Animação 3D 🌱 Iniciante
@Geometry Nodes 🌱 Iniciante
@Blender (software 3D) 📚 Familiar",❓ Desconhecida,❤️ Alto,2.5,,,No,⭐⭐⭐⭐⭐ Muito alta,,"✨ Área de interesse, 💼 Oportunidade de mercado","Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Visualização de produtos em 3D (Visualiza%C3%A7%C3%A3o%20de%20produtos%20em%203D%202e3929e8cc2b804cb13cd7b9f35edc21.csv), Geometry Nodes (Geometry%20Nodes%202e3929e8cc2b80a9b0b9f58cf7b7dbb1.csv), Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv), Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv), Ilustração comercial (Ilustra%C3%A7%C3%A3o%20comercial%202e3929e8cc2b80f99075cf866244323b.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv)",2.7,3.3,3.3,3.6,0,0,0,1,4,5
Game Dev (Desenvolvimento de Jogos),"Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv)",Área de especialização (sem dependentes),"Depende de: 
@Coding / Programação 🌱 Iniciante
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante
@Blender (software 3D) 📚 Familiar
@Data Visualisation (visualização de dados) 🌱 Iniciante",❓ Desconhecida,💛 Médio,2.4,,,No,⭐⭐⭐⭐⭐ Muito alta,,"✨ Área de interesse, 💼 Oportunidade de mercado",Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv),2.4,3,2.8,3.4,0,0,0,1,3,5
"Carreira acadêmica em áreas como Ciência Cognitiva, Psicologia, Filosofia",Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv),Área de especialização (sem dependentes),"Depende de: 
@Data Visualisation (visualização de dados) 🌱 Iniciante",🌱 Iniciante,❤️ Alto,2,,,No,⭐⭐⭐ Média,,"✨ Área de interesse, 💼 Oportunidade de mercado",,2.8,3,3.2,2.9,0,0,0,2,4,3
Habit Lab,"Notion (construir sistemas, com fórmulas, bancos de dados, etc.) (Notion%20(construir%20sistemas,%20com%20f%C3%B3rmulas,%20bancos%20d%202e3929e8cc2b8070ba53e38bace5e8bc.csv), Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Data Visualisation (visualização de dados) (Data%20Visualisation%20(visualiza%C3%A7%C3%A3o%20de%20dados)%202e6929e8cc2b808f9012c5436873acf7.csv)",Área de especialização (sem dependentes),"Depende de: 
@Notion (construir sistemas, com fórmulas, bancos de dados, etc.) 💪 Confiante
@Coding / Programação 🌱 Iniciante
@Data Visualisation (visualização de dados) 🌱 Iniciante",💪 Confiante,❤️ Alto,2.5,,,No,⭐⭐⭐ Média,,"✨ Área de interesse, 💼 Oportunidade de mercado, 🗂️ Projeto Pessoal",,3.8,3.7,3.8,3.5,0,0,0,4,4,3
Desenvolvimento de Mods pra Skyrim,"Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv), Rigging (pré-requisito de animalçao) (Rigging%20(pr%C3%A9-requisito%20de%20animal%C3%A7ao)%202e4929e8cc2b809899d9d934a3f44471.csv)",Área de especialização (sem dependentes),"Depende de: 
@Coding / Programação 🌱 Iniciante
@Blender (software 3D) 📚 Familiar
@Animação 3D 🌱 Iniciante
@Rigging (pré-requisito de animalçao) ❓ Desconhecida",❓ Desconhecida,❤️ Alto,1.8,,,No,⭐⭐⭐ Média,,"✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado, 🗂️ Projeto Pessoal","Game Dev (Desenvolvimento de Jogos) (Game%20Dev%20(Desenvolvimento%20de%20Jogos)%202e3929e8cc2b8066a11ece1e710f61f4.csv), Blender (software 3D) (Blender%20(software%203D)%202e3929e8cc2b80999f72c12664e781ad.csv), Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv), Concept Design (Concept%20Design%202e3929e8cc2b8021bacdc04e7f13d81a.csv), Visualização de produtos em 3D (Visualiza%C3%A7%C3%A3o%20de%20produtos%20em%203D%202e3929e8cc2b804cb13cd7b9f35edc21.csv), Impressão 3D (Impress%C3%A3o%203D%202e3929e8cc2b8053afbacb5119aa7886.csv), Photoshop e edição de imagens (Photoshop%20e%20edi%C3%A7%C3%A3o%20de%20imagens%202e3929e8cc2b80ac87e9f8fb3d1d0f60.csv), Notion (construir sistemas, com fórmulas, bancos de dados, etc.) (Notion%20(construir%20sistemas,%20com%20f%C3%B3rmulas,%20bancos%20d%202e3929e8cc2b8070ba53e38bace5e8bc.csv), Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Ilustração / Pintura digital (Ilustra%C3%A7%C3%A3o%20Pintura%20digital%202e3929e8cc2b80bdb371e107403c1fd8.csv)",2.3,2.7,2.9,2.6,0,0,0,1,4,3
Rigging (pré-requisito de animalçao),,"Requerido por: 
@Animação 3D 🌱 Iniciante
@Desenvolvimento de Mods pra Skyrim ❓ Desconhecida",Área de fundamento (sem requisitos),❓ Desconhecida,💙 Baixo,3.7,,,No,⭐⭐⭐⭐⭐ Muito alta,"Animação 3D (Anima%C3%A7%C3%A3o%203D%202e3929e8cc2b8006926ccd573468e546.csv), Desenvolvimento de Mods pra Skyrim (Desenvolvimento%20de%20Mods%20pra%20Skyrim%202e3929e8cc2b80eb8eecc6a1f2485c09.csv)",🎯 Habilidade / 🖥️ Software,,2.1,2.7,2.3,3.2,2,4.7,1.9,1,2,5
Data Visualisation (visualização de dados),"Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv)","Requerido por: 
@Carreira acadêmica em áreas como Ciência Cognitiva, Psicologia, Filosofia 🌱 Iniciante
@Game Dev (Desenvolvimento de Jogos) ❓ Desconhecida
@Geometry Nodes 🌱 Iniciante
@Habit Lab 💪 Confiante
@Notion (construir sistemas, com fórmulas, bancos de dados, etc.) 💪 Confiante","Depende de: 
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante
@Coding / Programação 🌱 Iniciante",🌱 Iniciante,🔥 Muito alto,5.5,,,No,⭐⭐⭐⭐⭐ Muito alta,"Carreira acadêmica em áreas como Ciência Cognitiva, Psicologia, Filosofia (Carreira%20acad%C3%AAmica%20em%20%C3%A1reas%20como%20Ci%C3%AAncia%20Cognitiva%202e3929e8cc2b80259bb5d18b8c4e53f7.csv), Game Dev (Desenvolvimento de Jogos) (Game%20Dev%20(Desenvolvimento%20de%20Jogos)%202e3929e8cc2b8066a11ece1e710f61f4.csv), Geometry Nodes (Geometry%20Nodes%202e3929e8cc2b80a9b0b9f58cf7b7dbb1.csv), Habit Lab (Habit%20Lab%202e3929e8cc2b80baa3c5df86dd0dd57a.csv), Notion (construir sistemas, com fórmulas, bancos de dados, etc.) (Notion%20(construir%20sistemas,%20com%20f%C3%B3rmulas,%20bancos%20d%202e3929e8cc2b8070ba53e38bace5e8bc.csv)","✨ Área de interesse, 🎯 Habilidade / 🖥️ Software, 💼 Oportunidade de mercado, 🗂️ Projeto Pessoal",,3.5,4,4.1,4.1,5,8.6,3.1,2,5,5
Robótica,"Coding / Programação (Coding%20Programa%C3%A7%C3%A3o%202e3929e8cc2b80699ef7f4524e22f0e3.csv), Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv), Eng. Eletrônica (Eng%20Eletr%C3%B4nica%202e7929e8cc2b808a9f58d0cb9516d3f9.csv)",Área de especialização (sem dependentes),"Depende de: 
@Coding / Programação 🌱 Iniciante
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante
@Eng. Eletrônica ❓ Desconhecida",❓ Desconhecida,💛 Médio,2.4,,,No,⭐⭐⭐⭐⭐ Muito alta,,✨ Área de interesse,,2.4,3,2.8,3.4,0,0,0,1,3,5
Eng. Eletrônica,Matemática intermediária - avançada (pra desenvolvimento de software) (Matem%C3%A1tica%20intermedi%C3%A1ria%20-%20avan%C3%A7ada%20(pra%20desenvolv%202e3929e8cc2b80b3a969fbe64ea3d61c.csv),"Requerido por: 
@Robótica ❓ Desconhecida","Depende de: 
@Matemática intermediária - avançada (pra desenvolvimento de software) 🌱 Iniciante",❓ Desconhecida,💙 Baixo,2.7,,,No,⭐⭐⭐⭐⭐ Muito alta,Robótica (Rob%C3%B3tica%202e7929e8cc2b8077ad2bdd59b9a906e9.csv),🎯 Habilidade / 🖥️ Software,,2.1,2.7,2.3,3.2,1,1.5,0.5,1,2,5
